heading[deg],image_fname,frame,latitude[deg],longitude[deg],cam,neighborhood,subfolder
110.133457718119,1296065004747437_right,1296065004747437_right,-7.30291931045348,112.751660943031,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
277.827857627836,579250858235590_right,579250858235590_right,-7.30115276760112,112.754209041595,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
214.069935937477,951619706391802_right,951619706391802_right,-7.30379193747973,112.749997973442,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
101.091270067828,1000656341895711_right,1000656341895711_right,-7.30128579064925,112.752685546875,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
277.491469730385,954892623235312_right,954892623235312_right,-7.30126982788556,112.754847407341,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
101.400022304143,8959335654181840_right,8959335654181840_right,-7.3031268255714,112.7524548769,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
290.287595162382,582529418085675_right,582529418085675_right,-7.30257877261533,112.751966714859,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
26.3787734342806,1100848724672150_right,1100848724672150_right,-7.30413779528099,112.749305963516,1,,data/mapillary_images_new/GfnECFq1P5zs8ldBytcZSH/right
100.704478175034,2687441318123291_right,2687441318123291_right,-7.30164761313995,112.754407525063,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
284.583598246829,1110067973945036_right,1110067973945036_right,-7.30250960083526,112.751693129539,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
288.575419667247,1295978488079577_right,1295978488079577_right,-7.30318003456048,112.754391431808,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
180,506789155161323_right,506789155161323_right,-7.29978528837233,112.750743627548,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
115.381437080226,892172816430588_right,892172816430588_right,-7.30390899707321,112.749660015106,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
286.715462043555,2291736231196687_right,2291736231196687_right,-7.3030789374758,112.748699784279,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
102.627966126121,1407306966913253_right,1407306966913253_right,-7.30169018047256,112.754627466202,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
110.287471768548,903254851921564_right,903254851921564_right,-7.29960969735134,112.748340368271,1,,data/mapillary_images_new/2WwrcMRsN6phxTSEt0yeKb/right
195.822622654636,1633929227501764_right,1633929227501764_right,-7.3006685633718,112.750593423843,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
195.137185839307,1650968938822511_right,1650968938822511_right,-7.29927447793803,112.750115990639,1,,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
281.091306822664,1189464726229770_right,1189464726229770_right,-7.30282353421272,112.752867937088,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
290.709815979388,565980856229584_right,565980856229584_right,-7.29986510245001,112.750174999237,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
110.880520572299,617826507258648_right,617826507258648_right,-7.30345140030629,112.750368118286,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
60.0537770604118,1572658593617665_right,1572658593617665_right,-7.30103570728605,112.751231789589,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
99.5382474499352,925556853052132_right,925556853052132_right,-7.30076434007415,112.750174999237,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
11.2205006167154,458126390680053_right,458126390680053_right,-7.30383450460818,112.74959564209,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
265.197623718578,902916428623941_right,902916428623941_right,-7.2989020116286,112.750663161278,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
93.3939203226757,446951631812319_right,446951631812319_right,-7.30179127787123,112.750647068024,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
118.373217699875,1850865522338900_right,1850865522338900_right,-7.30165293405675,112.750105261803,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
204.838604728954,617457177646253_right,617457177646253_right,-7.30126450696422,112.749230861664,1,my_hood,data/mapillary_images_new/VhRsvgX03frqbokEC81T76/right
108.015452203166,1643944873670864_right,1643944873670864_right,-7.30161568763785,112.75000333786,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
286.069023074866,907028888245819_right,907028888245819_right,-7.30075901914678,112.752299308777,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
286.516229133815,8765731133524286_right,8765731133524286_right,-7.3007749819287,112.752358317375,1,my_hood,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
280.87041162156,633081909059257_right,633081909059257_right,-7.30329177341694,112.749617099762,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
286.269426433824,616412121043543_right,616412121043543_right,-7.30324388533903,112.749289870262,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
267.594587023076,2127860584351884_right,2127860584351884_right,-7.29890733257805,112.750802636147,1,,data/mapillary_images_new/rLKfngGP2QWN4z7hej1FIu/right
357.01158395922,1263746011585093_right,1263746011585093_right,-7.29938621777039,112.751478552818,1,,data/mapillary_images_new/Qycm8N0gHbjkBZCtdxMoY3/right
15.8225165493456,622262537000534_right,622262537000534_right,-7.30382386282645,112.749660015106,1,,data/mapillary_images_new/VW2hY8wcJ3e4PDUjQivLGd/right
18.2953705948511,578305045105386_right,578305045105386_right,-7.30370148231835,112.749638557434,1,,data/mapillary_images_new/wmL9oX1AljUsix742F0cZf/right
